Рейтинг 2025 рік,Країна,"ВВП (повна вартість), $","Зростання ВВП, %","ВВП на душу населення, $"
1,Сполучені Штати,30 615 743 000 000,"0,02",89 599
2,Китай,19 398 577 000 000,"0,05",13 806
3,Німеччина,5 013 574 000 000,"0,00",59 925
4,Японія,4 279 828 000 000,"0,01",34 713
5,Індія,4 125 213 000 000,"0,07",2 818
6,Сполучене Королівство,3 958 780 000 000,"0,01",56 661
7,Франція,3 361 557 000 000,"0,01",48 982
8,Італія,2 543 677 000 000,"0,01",43 161
9,Росія,2 540 656 000 000,"0,01",17 446
10,Канада,2 283 599 000 000,"0,01",54 935
11,Бразилія,2 256 910 000 000,"0,02",10 578
12,Іспанія,1 891 371 000 000,"0,03",38 040
13,Мексика,1 862 740 000 000,"0,01",13 967
14,Південна Корея,1 858 572 000 000,"0,01",35 962
15,Австралія,1 829 508 000 000,"0,02",65 946
16,Туреччина,1 565 471 000 000,"0,04",18 198
17,Індонезія,1 443 256 000 000,"0,05",5 074
18,Нідерланди,1 320 635 000 000,"0,01",73 174
19,Саудівська Аравія,1 268 535 000 000,"0,04",35 231
20,Польща,1 039 619 000 000,"0,03",28 485
21,Швейцарія,1 002 666 000 000,"0,01",111 047
22,Тайвань,884 387 000 000,"0,04",37 827
23,Бельгія,716 980 000 000,"0,01",60 418
24,Ірландія,708 771 000 000,"0,09",129 132
25,Аргентина,683 371 000 000,"0,05",14 359
26,Швеція,662 318 000 000,"0,01",62 036
27,Ізраїль,610 752 000 000,"0,03",60 009
28,Сінгапур,574 185 000 000,"0,02",94 481
29,Об'єднані Арабські Емірати,569 097 000 000,"0,05",51 348
30,Австрія,566 456 000 000,"0,00",61 694
31,Таїланд,558 573 000 000,"0,02",7 942
32,Норвегія,517 102 000 000,"0,01",91 884
33,Філіппіни,494 158 000 000,"0,05",4 321
34,В'єтнам,484 726 000 000,"0,07",4 745
35,Бангладеш,475 011 000 000,"0,04",2 734
36,Малайзія,470 572 000 000,"0,05",13 901
37,Данія,459 612 000 000,"0,02",76 581
38,Колумбія,438 121 000 000,"0,03",8 249
39,Гонконг,428 233 000 000,"0,02",56 844
40,Південна Африка,426 383 000 000,"0,01",6 667
41,Румунія,422 508 000 000,"0,01",22 436
42,Пакистан,410 495 000 000,"0,03",1 707
43,Чеська Республіка (Чехія),383 384 000 000,"0,02",35 161
44,Іран,356 513 000 000,"0,01",4 074
45,Єгипет,349 264 000 000,"0,04",3 191
46,Чилі,347 174 000 000,"0,03",17 181
47,Португалія,337 936 000 000,"0,02",31 415
48,Перу,318 480 000 000,"0,03",9 256
49,Фінляндія,314 724 000 000,"0,01",56 084
50,Казахстан,300 052 000 000,"0,06",14 723
51,Алжир,288 013 000 000,"0,03",6 095
52,Нігерія,285 003 000 000,"0,04",1 200
53,Греція,282 019 000 000,"0,02",27 170
54,Ірак,265 455 000 000,"0,01",5 832
55,Нова Зеландія,262 909 000 000,"0,01",49 383
56,Угорщина,247 759 000 000,"0,01",25 916
57,Катар,222 119 000 000,"0,03",71 441
58,Україна,209 713 000 000,"0,02",6 382
59,Куба,201 985 998 168,"-0,02",18 329
60,Марокко,179 612 000 000,"0,04",4 763
61,Кувейт,157 469 000 000,"0,03",30 805
62,Словаччина,154 587 000 000,"0,01",28 524
63,Узбекистан,137 480 000 000,"0,07",3 647
64,Кенія,136 014 000 000,"0,05",2 549
65,Еквадор,130 529 000 000,"0,03",7 210
66,Домініканська Республіка,129 748 000 000,"0,03",11 919
67,Болгарія,127 924 000 000,"0,03",20 426
68,Пуерто-Рико,126 546 000 000,"-0,01",39 854
69,Гватемала,120 850 000 000,"0,04",6 478
70,Ангола,115 167 000 000,"0,02",2 931
71,Гана,111 963 000 000,"0,04",3 193
72,Ефіопія,109 492 000 000,"0,07",994
73,Оман,105 190 000 000,"0,03",19 119
74,Хорватія,103 901 000 000,"0,03",26 958
75,Коста-Рика,102 637 000 000,"0,04",19 104
76,Люксембург,100 642 000 000,"0,01",146 818
77,Сербія,100 048 000 000,"0,02",15 322
78,Кот-д'Івуар,99 207 000 000,"0,06",3 016
79,Шрі-Ланка,98 964 000 000,"0,05",4 325
80,Литва,95 274 000 000,"0,03",32 982
81,Панама,90 408 000 000,"0,04",19 802
82,Танзанія,87 444 000 000,"0,06",1 302
83,Білорусь,85 739 000 000,"0,02",9 435
84,Уругвай,84 986 000 000,"0,03",24 380
85,Венесуела,82 767 000 000,"0,01",3 103
86,ДР Конго,82 262 000 000,"0,05",772
87,Словенія,79 221 000 000,"0,01",37 178
88,Азербайджан,76 390 000 000,"0,03",7 365
89,Туркменістан,72 119 000 000,"0,02",10 801
90,Уганда,64 993 000 000,"0,06",1 353
91,Камерун,60 577 000 000,"0,04",2 027
92,М'янма,60 561 000 000,"-0,03",1 097
93,Туніс,59 069 000 000,"0,03",4 752
94,Болівія,57 086 000 000,"0,01",4 585
95,Йорданія,56 157 000 000,"0,03",4 908
96,Зімбабве,53 310 000 000,"0,06",3 071
97,Макао,52 379 000 000,"0,03",74 921
98,Камбоджа,48 802 000 000,"0,05",2 812
99,Лівія,47 941 000 000,"0,16",6 866
100,Латвія,47 880 000 000,"0,01",25 630
101,Парагвай,47 398 000 000,"0,04",6 799
102,Бахрейн,47 391 000 000,"0,03",29 253
103,Естонія,46 763 000 000,"0,01",34 041
104,Непал,45 513 000 000,"0,04",1 535
105,Кіпр,39 943 000 000,"0,03",42 413
106,Гондурас,39 445 000 000,"0,04",3 637
107,Ісландія,38 386 000 000,"0,01",98 150
108,Грузія,37 403 000 000,"0,07",10 126
109,Сенегал,36 839 000 000,"0,06",1 921
110,Сальвадор,36 587 000 000,"0,03",5 744
111,Судан,35 897 000 000,"0,03",712
112,Боснія і Герцеговина,33 237 000 000,"0,02",9 648
113,Папуа - Нова Гвінея,32 714 000 000,"0,05",2 555
114,Гаїті,30 908 000 000,"-0,03",2 461
115,Албанія,29 939 000 000,"0,03",11 108
116,Замбія,29 369 000 000,"0,06",1 353
117,Ліван,28 280 000 000,"-0,08",5 282
118,Вірменія,27 859 000 000,"0,05",8 969
119,Мальта,27 745 000 000,"0,04",49 277
120,Гвінея,27 515 000 000,"0,07",1 741
121,Буркіна-Фасо,26 866 000 000,"0,04",1 115
122,Тринідад і Тобаго,26 002 000 000,"0,01",18 121
123,Малі,25 591 000 000,"0,05",1 014
124,Монголія,25 105 000 000,"0,06",7 005
125,Гаяна,25 064 000 000,"0,10",31 378
126,Мозамбік,24 726 000 000,"0,03",690
127,Бенін,24 402 000 000,"0,07",1 635
128,Ямайка,23 137 000 000,"0,02",8 405
129,Нігер,22 969 000 000,"0,07",789
130,Чад,21 592 000 000,"0,03",1 139
131,Габон,21 455 000 000,"0,02",9 303
132,Нікарагуа,20 689 000 000,"0,03",2 953
133,Киргизстан,20 160 000 000,"0,08",2 790
134,Сирія,19 993 439 950,"-0,01",847
135,Молдова,19 620 000 000,"0,02",8 239
136,Мадагаскар,19 377 000 000,"0,04",616
137,Ботсвана,19 186 000 000,"-0,01",6 943
138,Північна Македонія,18 783 000 000,"0,03",10 378
139,Афганістан,18 080 000 000,"0,02",417
140,Ємен,17 352 000 000,"-0,02",415
141,Таджикистан,17 032 000 000,"0,08",1 644
142,Лаос,16 934 000 000,"0,04",2 174
143,Північна Корея,16 446 632 290,"0,03",640
144,Багамські Острови,16 393 000 000,"0,02",39 726
145,Маврикій,15 730 000 000,"0,03",12 519
146,Конго,15 695 000 000,"0,03",2 420
147,Бруней,15 565 000 000,"0,02",33 858
148,Малаві,14 975 000 000,"0,02",622
149,Руанда,14 771 000 000,"0,07",1 043
150,Намібія,14 686 000 000,"0,04",4 816
151,Держава Палестина,13 711 000 000,"-0,27",2 443
152,Екваторіальна Гвінея,13 467 000 000,"-0,02",8 229
153,Сомалі,12 944 000 000,"0,03",763
154,Мавританія,11 953 000 000,"0,04",2 582
155,Того,10 951 000 000,"0,05",1 120
156,Нова Каледонія,10 139 988 153,"0,00",34 981
157,Монако,9 995 350 547,"0,05",256 581
158,Ліхтенштейн,9 424 000 000,"0,01",231 713
159,Чорногорія,9 353 000 000,"0,03",14 986
160,Бермудські Острови,8 980 200 000,"0,02",138 935
161,Сьєрра-Леоне,8 639 000 000,"0,04",980
162,Мальдіви,7 676 000 000,"0,05",18 684
163,Барбадос,7 559 000 000,"0,03",25 927
164,Острів Мен,7 431 257 411,"-0,04",88 329
165,Кайманові Острови,7 139 428 558,"0,04",97 750
166,Бурунді,7 025 000 000,"0,04",486
167,Гуам,6 910 000 000,"0,05",41 833
168,Французька Полінезія,6 402 221 222,"0,03",22 774
169,Фіджі,6 336 000 000,"0,03",6 825
170,Есватіні,5 201 000 000,"0,04",4 410
171,Ліберія,5 182 000 000,"0,05",904
172,Південний Судан,4 979 000 000,"0,24",313
173,Американські Віргінські Острови,4 672 000 000,"-0,01",44 321
174,Джибуті,4 613 000 000,"0,06",4 369
175,Суринам,4 496 000 000,"0,03",6 843
176,Андорра,4 408 000 000,"0,02",49 451
177,Аруба,4 319 000 000,"0,02",39 606
178,Фарерські острови,3 907 323 961,"0,02",71 774
179,Бутан,3 408 000 000,"0,07",4 285
180,Гренландія,3 326 544 174,"0,01",58 499
181,Центральноафриканська Республіка,3 300 000 000,"0,03",599
182,Беліз,3 297 000 000,"0,02",7 897
183,Кюрасао,3 281 419 347,"0,04",21 062
184,Кабо-Верде,2 915 000 000,"0,05",5 671
185,Сент-Люсія,2 659 000 000,"0,02",14 647
186,Гамбія,2 497 000 000,"0,06",890
187,Гвінея-Бісау,2 474 000 000,"0,05",1 225
188,Лесото,2 390 000 000,"0,01",1 001
189,Антигуа і Барбуда,2 340 000 000,"0,03",22 314
190,Еритрея,2 275 290 216,"0,03",656
191,Сан-Марино,2 241 000 000,"0,01",65 269
192,Сейшельські Острови,2 230 000 000,"0,04",21 956
193,Тимор-Лешті,2 125 000 000,"0,04",1 508
194,Соломонові Острови,1 904 000 000,"0,03",2 386
195,Острови Теркс і Кайкос,1 745 378 000,"0,06",37 507
196,Сінт-Мартен,1 735 210 228,"0,04",40 028
197,Коморські Острови,1 613 000 000,"0,04",1 773
198,Британські Віргінські Острови,1 505 856 107,"0,03",38 627
199,Гренада,1 458 000 000,"0,03",12 544
200,Самоа,1 248 000 000,"0,03",5 887
201,Сент-Вінсент і Гренадини,1 238 000 000,"0,04",11 132
202,Сент-Кіттс і Невіс,1 141 000 000,"0,02",22 158
203,Вануату,1 119 000 000,"0,02",3 133
204,Північні Маріанські Острови,1 096 000 000,"0,17",23 786
205,Сан-Томе і Принсіпі,976 000 000,"0,03",4 061
206,Американське Самоа,871 000 000,"0,02",18 017
207,Домініка,748 000 000,"0,04",9 944
208,Сен-Мартен,649 206 156,"0,05",21 668
209,Тонга,587 000 000,"0,03",5 921
210,Мікронезія,495 000 000,"0,01",5 241
211,Ангілья,415 735 284,"0,02",28 850
212,Острови Кука,366 211 548,"0,19",25 750
213,Палау,341 000 000,"0,05",19 456
214,Кірибаті,321 000 000,"0,04",2 481
215,Маршаллові Острови,302 000 000,"0,03",8 287
216,Науру,172 000 000,"0,02",14 274
217,Монтсеррат,80 429 630,"0,07",18 197
218,Тувалу,58 000 000,"0,03",5 830